id,period,timestamp,minute,second,possession,duration,match_id,play_pattern_id,play_pattern_name,team_name,player_id,player_name,position_id,position_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,ps,x,y,outcome_name,shot_statsbomb_xg,technique_id,technique_name,shot_first_time,end_z,shot_key_pass_id
00df664b-9947-4736-b3d3-3371af2079e1,2,03:26.4,48,26,87,0.914913,3857267,4,From Throw In,Ecuador,36148,José Adoni Cifuentes Charcopa,9,Right Defensive Midfield,117.7,42.5,40,Right Foot,87,Open Play,FALSE,93.8,51.3,notgoal,0.025271386,93,Normal,,0.2,c3bafb48-0258-4019-89bf-472a4f7428d0
bf6c17ed-9a97-41d2-a605-5b40be242ffd,2,11:59.6,56,59,106,1.202971,3857267,1,Regular Play,Ecuador,34396,Michael Steveen Estrada Martínez,22,Right Center Forward,120,31.1,37,Head,87,Open Play,FALSE,106.7,38.8,notgoal,0.042533338,93,Normal,,0.7,
d7e9b7b5-e7b1-4644-97f3-bd10ea16e184,2,21:57.9,66,57,126,0.359115,3857267,2,From Corner,Ecuador,30111,Felix Eduardo Torres Caicedo,3,Right Center Back,117,36.2,37,Head,87,Open Play,FALSE,113.7,42.7,notgoal,0.15397952,93,Normal,,,2cf24837-836d-43c4-a737-e081bec633a1
e3628433-dbd5-46d2-8ef7-93e5ae46af83,2,21:58.4,66,58,126,0.458531,3857267,2,From Corner,Ecuador,37726,Moisés Isaac Caicedo Corozo,11,Left Defensive Midfield,120,36.9,40,Right Foot,87,Open Play,FALSE,117.2,35.6,goal,0.5894187,95,Volley,TRUE,0.1,
d887c9bf-d07d-4dea-b014-7265fa323362,2,24:30.3,69,30,128,0.608483,3857267,3,From Free Kick,Senegal,5675,Kalidou Koulibaly,3,Right Center Back,120,38.2,40,Right Foot,87,Open Play,FALSE,114.3,46,goal,0.23427999,95,Volley,TRUE,1.3,
bf5d2f72-9270-48e1-9985-4e18930f8361,2,30:48.4,75,48,133,0.694391,3857267,4,From Throw In,Ecuador,31152,Gonzalo Jordy Plata Jiménez,12,Right Midfield,117.9,40.6,38,Left Foot,87,Open Play,FALSE,107,42.8,notgoal,0.058988493,91,Half Volley,,0.5,ecaf0eae-3fc3-4aae-b3c7-650d78426f67
b44deb54-7b32-4132-bd9a-2a4000845a1d,2,36:53.7,81,53,144,0.758655,3857267,4,From Throw In,Senegal,20611,Boulaye Dia,17,Right Wing,120,45.1,40,Right Foot,87,Open Play,FALSE,101.3,54.6,notgoal,0.04455093,93,Normal,TRUE,1.6,938c0350-b65a-49ff-9de7-670bc6313194
5ef56207-6a0e-42a7-a29a-32b1ef0f5e99,2,42:46.9,87,46,155,0.757377,3857267,3,From Free Kick,Senegal,21026,Pape Gueye,11,Left Defensive Midfield,116.1,44,40,Right Foot,87,Open Play,FALSE,102.6,54.8,notgoal,0.03201506,93,Normal,,0.9,
8486fea7-c69d-42a0-9d43-5f116ad4e9e7,2,43:59.9,88,59,165,1.540094,3857267,4,From Throw In,Ecuador,40211,Jeremy Leonel Sarmiento Morante,16,Left Midfield,117.3,40.5,37,Head,87,Open Play,FALSE,105.3,32.1,notgoal,0.02928531,93,Normal,,1.9,93f470de-0ddf-4053-9184-d123478b5a5a
c0e47eee-3f1e-4323-be51-6cf548aa43e4,2,48:53.7,93,53,178,1.999,3857267,4,From Throw In,Ecuador,51969,Jackson Gabriel Porozo Vernaza,2,Right Back,120,51.5,37,Head,87,Open Play,FALSE,105.9,34.3,notgoal,0.052534856,93,Normal,,0.7,d8f56dd7-a168-4e34-8b60-051c2ca1d1b8
